year_published,latest,possibly_extinct,possibly_extinct_in_the_wild,sis_taxon_id,url,taxon_scientific_name,red_list_category_code,assessment_id,kingdom,phylum,class,order,family,genus,species,scope_description,endemicEU,RealAssessmentYN,Comments
2009,FALSE,FALSE,FALSE,58622,https://www.iucnredlist.org/species/58622/11813789,Rana iberica,NT,11813789,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,iberica,Europe; Global,Y,Y,
2004,FALSE,FALSE,FALSE,58622,https://www.iucnredlist.org/species/58622/11813980,Rana iberica,NT,11813980,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,iberica,Europe; Global,Y,Y,
2024,TRUE,FALSE,FALSE,58624,https://www.iucnredlist.org/species/58624/227231646,Rana italica,LC,227231646,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,italica,Europe; Global; Mediterranean,Y,Y,
2022,FALSE,FALSE,FALSE,58624,https://www.iucnredlist.org/species/58624/215527222,Rana italica,LC,215527222,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,italica,Europe; Global,Y,N,"An errata assessment was created in order to add the European 'header' text to the Rationale, as the species is not endemic to the EU Member States."
2020,FALSE,FALSE,FALSE,58624,https://www.iucnredlist.org/species/58624/89705522,Rana italica,LC,89705522,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,italica,Europe; Global,Y,N,
2022,FALSE,FALSE,FALSE,58624,https://www.iucnredlist.org/species/58624/267260819,Rana italica,LC,267260819,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,italica,Europe; Global; Mediterranean,Y,Y,An errata assessment was created in order to add the 'Mediterranean' scope to the assessment of this species that is endemic to the IUCN Mediterranean Red List assessment area.
2009,FALSE,FALSE,FALSE,58624,https://www.iucnredlist.org/species/58624/11814765,Rana italica,LC,11814765,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,italica,Europe; Global,Y,Y,
2004,FALSE,FALSE,FALSE,58624,https://www.iucnredlist.org/species/58624/11814897,Rana italica,LC,11814897,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,italica,Europe; Global,Y,Y,
2024,TRUE,FALSE,FALSE,19156,https://www.iucnredlist.org/species/19156/227232074,Rana latastei,VU,227232074,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,latastei,Europe; Global,Y,Y,
2022,FALSE,FALSE,FALSE,19156,https://www.iucnredlist.org/species/19156/215527729,Rana latastei,VU,215527729,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,latastei,Europe; Global,Y,N,An errata assessment was created in order to add the European regional assessment 'header' text and EU27 Member State assessment.
2020,FALSE,FALSE,FALSE,19156,https://www.iucnredlist.org/species/19156/89698776,Rana latastei,VU,89698776,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,latastei,Europe; Global,Y,Y,
2009,FALSE,FALSE,FALSE,19156,https://www.iucnredlist.org/species/19156/8845034,Rana latastei,VU,8845034,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,latastei,Europe; Global,Y,Y,
2004,FALSE,FALSE,FALSE,19156,https://www.iucnredlist.org/species/19156/8845261,Rana latastei,VU,8845261,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,latastei,Europe; Global,Y,Y,
1996,FALSE,FALSE,FALSE,19156,https://www.iucnredlist.org/species/19156/8844997,Rana latastei,NT,8844997,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,latastei,Europe; Global,Y,Y,
1994,FALSE,FALSE,FALSE,19156,https://www.iucnredlist.org/species/19156/8845479,Rana latastei,VU,8845479,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,latastei,Europe; Global,Y,Y,
1990,FALSE,FALSE,FALSE,19156,https://www.iucnredlist.org/species/19156/8845017,Rana latastei,VU,8845017,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,latastei,Europe; Global,Y,Y,
