,year_published,latest,possibly_extinct,possibly_extinct_in_the_wild,sis_taxon_id,url,taxon_scientific_name,red_list_category_code,assessment_id,genus,species,scope_description
139,2009,FALSE,FALSE,FALSE,61543,https://www.iucnredlist.org/species/61543/12512124,Platyceps collaris,LC,12512124,Platyceps,collaris,Europe
140,2009,TRUE,FALSE,FALSE,61543,https://www.iucnredlist.org/species/61543/12511985,Platyceps collaris,LC,12511985,Platyceps,collaris,Global
141,2006,FALSE,FALSE,FALSE,61543,https://www.iucnredlist.org/species/61543/12511871,Platyceps collaris,LC,12511871,Platyceps,collaris,Global
142,2024,TRUE,FALSE,FALSE,157277,https://www.iucnredlist.org/species/157277/207994241,Platyceps najadum,LC,207994241,Platyceps,najadum,Europe
143,2009,FALSE,FALSE,FALSE,157277,https://www.iucnredlist.org/species/157277/5068300,Platyceps najadum,LC,5068300,Platyceps,najadum,Europe
144,2009,TRUE,FALSE,FALSE,157277,https://www.iucnredlist.org/species/157277/5068046,Platyceps najadum,LC,5068046,Platyceps,najadum,Global
145,2024,TRUE,FALSE,FALSE,157258,https://www.iucnredlist.org/species/157258/137860744,Telescopus fallax,LC,137860744,Telescopus,fallax,Europe
146,2009,FALSE,FALSE,FALSE,157258,https://www.iucnredlist.org/species/157258/5063142,Telescopus fallax,LC,5063142,Telescopus,fallax,Europe
147,2009,TRUE,FALSE,FALSE,157258,https://www.iucnredlist.org/species/157258/5062870,Telescopus fallax,LC,5062870,Telescopus,fallax,Global
148,2024,TRUE,FALSE,FALSE,157251,https://www.iucnredlist.org/species/157251/205719449,Zamenis hohenackeri,DD,205719449,Zamenis,hohenackeri,Europe
149,2009,FALSE,FALSE,FALSE,157251,https://www.iucnredlist.org/species/157251/5060729,Zamenis hohenackeri,NE,5060729,Zamenis,hohenackeri,Europe
150,2009,TRUE,FALSE,FALSE,157251,https://www.iucnredlist.org/species/157251/5060528,Zamenis hohenackeri,LC,5060528,Zamenis,hohenackeri,Global
151,2024,TRUE,FALSE,FALSE,61595,https://www.iucnredlist.org/species/61595/205824302,Zamenis lineatus,LC,205824302,Zamenis,lineatus,Global; Europe; Mediterranean
152,2024,TRUE,FALSE,FALSE,61595,https://www.iucnredlist.org/species/61595/205824302,Zamenis lineatus,LC,205824302,Zamenis,lineatus,Global; Europe; Mediterranean
153,2024,TRUE,FALSE,FALSE,61595,https://www.iucnredlist.org/species/61595/205824302,Zamenis lineatus,LC,205824302,Zamenis,lineatus,Global; Europe; Mediterranean
154,2009,FALSE,FALSE,FALSE,61595,https://www.iucnredlist.org/species/61595/12505636,Zamenis lineatus,DD,12505636,Zamenis,lineatus,Global; Europe
155,2009,FALSE,FALSE,FALSE,61595,https://www.iucnredlist.org/species/61595/12505636,Zamenis lineatus,DD,12505636,Zamenis,lineatus,Global; Europe
156,2006,FALSE,FALSE,FALSE,61595,https://www.iucnredlist.org/species/61595/12505797,Zamenis lineatus,DD,12505797,Zamenis,lineatus,Global
157,2024,TRUE,FALSE,FALSE,157266,https://www.iucnredlist.org/species/157266/205826427,Zamenis longissimus,LC,205826427,Zamenis,longissimus,Europe
158,2017,TRUE,FALSE,FALSE,157266,https://www.iucnredlist.org/species/157266/49063773,Zamenis longissimus,LC,49063773,Zamenis,longissimus,Global
159,2009,FALSE,FALSE,FALSE,157266,https://www.iucnredlist.org/species/157266/5065796,Zamenis longissimus,LC,5065796,Zamenis,longissimus,Europe
160,2009,FALSE,FALSE,FALSE,157266,https://www.iucnredlist.org/species/157266/5065521,Zamenis longissimus,LC,5065521,Zamenis,longissimus,Global
161,2024,TRUE,FALSE,FALSE,61444,https://www.iucnredlist.org/species/61444/205825815,Zamenis situla,LC,205825815,Zamenis,situla,Europe
162,2009,FALSE,FALSE,FALSE,61444,https://www.iucnredlist.org/species/61444/12485966,Zamenis situla,LC,12485966,Zamenis,situla,Europe
163,2009,TRUE,FALSE,FALSE,61444,https://www.iucnredlist.org/species/61444/12485786,Zamenis situla,LC,12485786,Zamenis,situla,Global
164,2006,FALSE,FALSE,FALSE,61444,https://www.iucnredlist.org/species/61444/12485625,Zamenis situla,LC,12485625,Zamenis,situla,Global
165,1996,FALSE,FALSE,FALSE,61444,https://www.iucnredlist.org/species/61444/12485764,Zamenis situla,DD,12485764,Zamenis,situla,Global
166,1996,FALSE,FALSE,FALSE,61444,https://www.iucnredlist.org/species/61444/12486157,Zamenis situla,DD,12486157,Zamenis,situla,Global
167,1994,FALSE,FALSE,FALSE,61444,https://www.iucnredlist.org/species/61444/12486136,Zamenis situla,K,12486136,Zamenis,situla,Global
168,2024,TRUE,FALSE,FALSE,157257,https://www.iucnredlist.org/species/157257/213192842,Alsophylax pipiens,NA,213192842,Alsophylax,pipiens,Europe
169,2019,TRUE,FALSE,FALSE,157257,https://www.iucnredlist.org/species/157257/126053396,Alsophylax pipiens,LC,126053396,Alsophylax,pipiens,Global
170,2017,FALSE,FALSE,FALSE,157257,https://www.iucnredlist.org/species/157257/49094739,Alsophylax pipiens,LC,49094739,Alsophylax,pipiens,Global
171,2010,FALSE,FALSE,FALSE,157257,https://www.iucnredlist.org/species/157257/5062709,Alsophylax pipiens,LC,5062709,Alsophylax,pipiens,Global
172,2009,FALSE,FALSE,FALSE,157257,https://www.iucnredlist.org/species/157257/5062597,Alsophylax pipiens,NA,5062597,Alsophylax,pipiens,Europe
173,2024,TRUE,FALSE,FALSE,61446,https://www.iucnredlist.org/species/61446/207989942,Euleptes europaea,LC,207989942,Euleptes,europaea,Europe
